date,time,lat,long
04/24/2016,22:45:00,40.631093169,-73.947502471
08/23/2016,23:00:00,40.686815165,-73.919369885
12/03/2016,09:00:00,40.683079365,-73.78769997100001
04/08/2016,14:30:00,40.823387290999996,-73.87017045
08/05/2016,23:10:00,40.690536601999995,-73.746820773
01/28/2016,21:00:00,40.664829724,-73.92797169
09/03/2016,00:30:00,40.726529377,-73.734864538
05/16/2016,13:00:00,40.85502101,-73.881199099
08/30/2016,02:00:00,40.839818320999996,-73.868768665
11/09/2016,02:45:00,40.88069461,-73.865885383
05/07/2016,05:00:00,40.828653408,-73.949745924
01/28/2016,20:20:00,40.670171483000004,-73.776544389
06/03/2016,05:00:00,40.842703016,-73.919647178
01/30/2016,20:15:00,40.766569968,-73.990423968
07/15/2016,03:02:00,40.697764631999995,-73.938023022
10/10/2016,04:00:00,40.564764214,-74.182280617
04/03/2016,08:00:00,40.72438234,-73.98324334600001
04/24/2016,12:40:00,40.667616209,-73.996421975
02/26/2016,10:50:00,40.793300943,-73.948764998
01/05/2016,18:50:00,40.634277153,-74.084658817
08/11/2016,20:00:00,40.648575405,-74.008502507
07/05/2016,03:00:00,40.659453238000005,-73.938346956
11/21/2016,23:00:00,40.826216983,-73.94010026800001
08/29/2016,13:10:00,40.807085412,-73.943830883
07/29/2016,03:00:00,40.841840907,-73.883879032
11/10/2016,14:30:00,40.846705615,-73.864721395
09/16/2016,10:00:00,40.687847581999996,-73.83681747199999
04/07/2016,18:50:00,40.875281285999996,-73.867581341
06/23/2016,12:00:00,40.820834584,-73.880205132
09/30/2016,23:45:00,40.644398399,-73.87972914
09/02/2016,10:00:00,40.672516084,-73.925205588
09/29/2016,20:20:00,40.707751257,-73.787210211
10/29/2016,20:00:00,40.681783038,-73.91424899100001
01/03/2016,06:40:00,40.835494793,-73.907820691
03/12/2016,13:30:00,40.674458887,-73.887497945
06/16/2016,02:00:00,40.850934431999995,-73.942716695
11/06/2016,08:00:00,40.788721243000005,-73.939996774
09/10/2016,00:40:00,40.669308065,-73.76341137
03/05/2016,22:30:00,40.738794252,-73.88829867300001
07/21/2016,05:15:00,40.667390177,-73.870949908
04/10/2016,02:40:00,40.66051961,-73.883452174
10/15/2016,10:30:00,40.605555562,-74.015606093
11/19/2016,15:30:00,40.84324043,-73.936358681
02/21/2016,05:30:00,40.717594973000004,-73.738388455
02/10/2016,12:00:00,40.850054399,-73.913515183
03/29/2016,20:00:00,40.672391434,-73.892577219
01/10/2016,20:30:00,40.676828326999996,-73.934538222
07/18/2016,07:10:00,40.745858869,-73.867250325
06/01/2016,07:20:00,40.670937865,-73.862702275
05/20/2016,12:00:00,40.803268824,-73.94661899399999
